layer,distance,elevation
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,109.733266612573,21.8427448272705
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,110.632791327125,21.4681549072266
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,111.066781487576,21.2275238037109
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,111.966306202128,20.7372894287109
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,112.865830916681,20.2208614349365
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,113.299821077132,19.7323455810547
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,114.199345791684,19.5422344207764
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,115.098870506237,19.0442695617676
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,115.532860666687,18.8199214935303
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,116.43238538124,18.3994159698486
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,117.331910095792,17.7925682067871
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,117.765900256243,17.8246383666992
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,118.665424970795,17.241003036499
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,119.564949685348,16.5521049499512
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,119.998939845799,16.5311489105225
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,120.898464560351,15.9213552474976
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,121.797989274904,15.3658542633057
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,122.231979435354,15.2808094024658
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,123.131504149907,14.5489320755005
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,124.031028864459,14.0610704421997
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,124.46501902491,14.0932960510254
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,125.364543739463,13.731840133667
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,126.264068454015,13.4657831192017
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,126.698058614466,13.515100479126
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,127.597583329018,13.1712970733643
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,128.497108043571,12.8681449890137
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,128.931098204022,12.7609519958496
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,129.830622918574,12.4367418289185
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,130.730147633127,12.0125370025635
