X,Y,fid,pile_id,base_mode,notes,distance,angle,dsm_1,plane_predicted_m,plane_residual_m
67934.3714703961,224199.983880331,53,P02,perimeter_tin,,13.0,137.489552921879,5.57983160018921,5.498990117573612,0.08084148261559765
67934.5404015532,224199.799591796,54,P02,perimeter_tin,,13.25,137.489552921879,5.5846586227417,5.498871166953904,0.08578745578779579
67934.7093327104,224199.615303261,55,P02,perimeter_tin,,13.5,137.489552921879,5.58519744873047,5.498752216333514,0.08644523239695534
67934.8782638675,224199.431014726,56,P02,perimeter_tin,,13.75,137.489552921879,5.59499979019165,5.498633265713579,0.09636652447807137
67935.0471950246,224199.246726191,57,P02,perimeter_tin,,14.0,137.489552921879,5.57381010055542,5.498514315093871,0.0752957854615488
67935.2161261818,224199.062437656,58,P02,perimeter_tin,,14.25,137.489552921879,5.57797765731812,5.498395364473481,0.07958229284463858
67935.3850573389,224198.878149121,59,P02,perimeter_tin,,14.5,137.489552921879,5.58817529678345,5.498276413853546,0.08989888292990411
67935.553988496,224198.693860586,60,P02,perimeter_tin,,14.75,137.489552921879,5.60620069503784,5.498157463233838,0.1080432318040021
67935.7229196531,224198.509572051,61,P02,perimeter_tin,,15.0,137.489552921879,5.6176381111145,5.498038512613903,0.11959959850059754
67935.8918508103,224198.325283516,62,P02,perimeter_tin,,15.25,137.489552921879,5.62860012054443,5.497919561993513,0.13068055855091743
67936.0607819674,224198.140994981,63,P02,perimeter_tin,,15.5,137.489552921879,5.6312427520752,5.497800611373805,0.13344214070139504
67936.2297131245,224197.956706446,64,P02,perimeter_tin,,15.75,137.489552921879,5.62494802474976,5.497681660753642,0.12726636399611824
67936.3986442817,224197.772417911,65,P02,perimeter_tin,,16.0,137.489552921879,5.64286851882935,5.497562710133479,0.14530580869587073
67936.5675754388,224197.588129376,66,P02,perimeter_tin,,16.25,137.489552921879,5.63162517547607,5.497443759513317,0.13418141596275301
67936.7365065959,224197.403840841,67,P02,perimeter_tin,,16.5,137.489552921879,5.64763736724854,5.497324808893609,0.15031255835493074
67936.9054377531,224197.219552305,68,P02,perimeter_tin,,16.75,137.489552921879,5.64623260498047,5.497205858277994,0.14902674670247595
67937.0743689102,224197.03526377,69,P02,perimeter_tin,,17.0,137.489552921879,5.65335130691528,5.497086907658286,0.15626439925699387
67937.2433000673,224196.850975235,70,P02,perimeter_tin,,17.25,137.489552921879,5.64807367324829,5.496967957038578,0.15110571620971225
67937.4122312244,224196.6666867,71,P02,perimeter_tin,,17.5,137.489552921879,5.66100406646729,5.496849006418415,0.16415506004887437
67937.5811623816,224196.482398165,72,P02,perimeter_tin,,17.75,137.489552921879,5.65315437316895,5.496730055798253,0.15642431737069717
67937.7500935387,224196.29810963,73,P02,perimeter_tin,,18.0,137.489552921879,5.64771842956543,5.49661110517809,0.15110732438733976
67937.9190246958,224196.113821095,74,P02,perimeter_tin,,18.25,137.489552921879,5.64316558837891,5.496492154558382,0.14667343382052778
67938.087955853,224195.92953256,75,P02,perimeter_tin,,18.5,137.489552921879,5.63958311080933,5.496373203938219,0.14320990687111035
67938.2568870101,224195.745244025,76,P02,perimeter_tin,,18.75,137.489552921879,5.6392297744751,5.496254253318284,0.14297552115681622
67938.4258181672,224195.56095549,77,P02,perimeter_tin,,19.0,137.489552921879,5.65126991271973,5.496135302698349,0.1551346100213813
67938.5947493243,224195.376666955,78,P02,perimeter_tin,,19.25,137.489552921879,5.65488958358765,5.4960163520784135,0.1588732315092365
67938.7636804815,224195.19237842,79,P02,perimeter_tin,,19.5,137.489552921879,5.65202808380127,5.495897401458251,0.15613068234301952
67938.9326116386,224195.008089885,80,P02,perimeter_tin,,19.75,137.489552921879,5.64616870880127,5.495778450838543,0.15039025796272742
67939.1015427957,224194.82380135,81,P02,perimeter_tin,,20.0,137.489552921879,5.64820957183838,5.495659500218608,0.15255007161977208
67939.2508436561,224194.623375786,82,P02,perimeter_tin,,20.25,143.666815268825,5.65281677246094,5.495731892764525,0.1570848796964155
67939.3989636209,224194.42197947,83,P02,perimeter_tin,,20.5,143.666815268825,5.64922714233398,5.495815795901308,0.15341134643267207
67939.5470835857,224194.220583154,84,P02,perimeter_tin,,20.75,143.666815268825,5.63667869567871,5.495899699038091,0.140778996640619
67939.6952035505,224194.019186838,85,P02,perimeter_tin,,21.0,143.666815268825,5.62865781784058,5.495983602175102,0.1326742156654781
67939.8433235153,224193.817790523,86,P02,perimeter_tin,,21.25,143.666815268825,5.61165475845337,5.49606750530711,0.11558725314626006
67939.9914434802,224193.616394207,87,P02,perimeter_tin,,21.5,143.666815268825,5.60716104507446,5.496151408443438,0.11100963663102181
67940.139563445,224193.414997891,88,P02,perimeter_tin,,21.75,143.666815268825,5.59899854660034,5.496235311580222,0.10276323502011842
67940.2876834098,224193.213601575,89,P02,perimeter_tin,,22.0,143.666815268825,5.60770606994629,5.496319214717005,0.11138685522928515
67940.4358033746,224193.012205259,90,P02,perimeter_tin,,22.25,143.666815268825,5.62600708007812,5.496403117854243,0.12960396222387693
67940.5839233395,224192.810808943,91,P02,perimeter_tin,,22.5,143.666815268825,5.63207769393921,5.496487020990571,0.1355906729486387
67940.7320433043,224192.609412628,92,P02,perimeter_tin,,22.75,143.666815268825,5.63873100280762,5.496570924122352,0.1421600786852677
67940.8801632691,224192.408016312,93,P02,perimeter_tin,,23.0,143.666815268825,5.63734006881714,5.496654827259363,0.14068524155777684
67941.0282832339,224192.206619996,94,P02,perimeter_tin,,23.25,143.666815268825,5.63650560379028,5.496738730396146,0.13976687339413374
67941.1764031988,224192.00522368,95,P02,perimeter_tin,,23.5,143.666815268825,5.63746309280396,5.496822633532474,0.14064045927148605
