X,Y,fid,profile_id,section_id,orientation,notes,distance,angle,dsm_1,tin_1,height_1
67928.5355571949,224185.187336249,592,P02_CROSS,D-D',transverse,Broad cross-pile profile,17.2,261.469234390053,15.1714315414429,5.7351279258728,9.43630409240723
67928.4366635596,224185.172502203,593,P02_CROSS,D-D',transverse,Broad cross-pile profile,17.3,261.469234390053,15.2189769744873,5.73467445373535,9.48430252075195
67928.3377699243,224185.157668158,594,P02_CROSS,D-D',transverse,Broad cross-pile profile,17.4,261.469234390053,15.2665605545044,5.73422145843506,9.53233909606934
67928.238876289,224185.142834113,595,P02_CROSS,D-D',transverse,Broad cross-pile profile,17.5,261.469234390053,15.3190050125122,5.73351287841797,9.58549213409424
67928.1399826537,224185.128000067,596,P02_CROSS,D-D',transverse,Broad cross-pile profile,17.6,261.469234390053,15.3727169036865,5.73305940628052,9.63965797424316
67928.0410890184,224185.113166022,597,P02_CROSS,D-D',transverse,Broad cross-pile profile,17.7,261.469234390053,15.4156637191772,5.73274803161621,9.68291568756104
67927.9421953831,224185.098331977,598,P02_CROSS,D-D',transverse,Broad cross-pile profile,17.8,261.469234390053,15.4700479507446,5.73229455947876,9.73775291442871
67927.8433017479,224185.083497932,599,P02_CROSS,D-D',transverse,Broad cross-pile profile,17.9,261.469234390053,15.5239095687866,5.73158645629883,9.79232311248779
67927.7444081126,224185.068663886,600,P02_CROSS,D-D',transverse,Broad cross-pile profile,18,261.469234390053,15.5670785903931,5.73113298416138,9.83594512939453
67927.6455144773,224185.053829841,601,P02_CROSS,D-D',transverse,Broad cross-pile profile,18.1,261.469234390053,15.6051816940308,5.73067951202393,9.87450218200684
67927.546620842,224185.038995796,602,P02_CROSS,D-D',transverse,Broad cross-pile profile,18.2,261.469234390053,15.6416959762573,5.73022651672363,9.91146945953369
67927.4477272067,224185.02416175,603,P02_CROSS,D-D',transverse,Broad cross-pile profile,18.3,261.469234390053,15.6819658279419,5.72951793670654,9.95244789123535
67927.3488335714,224185.009327705,604,P02_CROSS,D-D',transverse,Broad cross-pile profile,18.4,261.469234390053,15.720778465271,5.72906494140625,9.99171352386475
67927.2499399361,224184.99449366,605,P02_CROSS,D-D',transverse,Broad cross-pile profile,18.5,261.469234390053,15.7616348266602,5.7286114692688,10.0330238342285
67927.1510463009,224184.979659614,606,P02_CROSS,D-D',transverse,Broad cross-pile profile,18.6,261.469234390053,15.8088064193726,5.72815799713135,10.0806484222412
67927.0521526656,224184.964825569,607,P02_CROSS,D-D',transverse,Broad cross-pile profile,18.7,261.469234390053,15.8533172607422,5.72744989395142,10.1258678436279
67926.9532590303,224184.949991524,608,P02_CROSS,D-D',transverse,Broad cross-pile profile,18.8,261.469234390053,15.877010345459,5.72699642181396,10.150013923645
67926.854365395,224184.935157479,609,P02_CROSS,D-D',transverse,Broad cross-pile profile,18.9,261.469234390053,15.8982944488525,5.72654294967651,10.1717510223389
67926.7554717597,224184.920323433,610,P02_CROSS,D-D',transverse,Broad cross-pile profile,19,261.469234390053,15.9233665466309,5.72583484649658,10.1975317001343
67926.6565781244,224184.905489388,611,P02_CROSS,D-D',transverse,Broad cross-pile profile,19.1,261.469234390053,15.9378414154053,5.72538137435913,10.212459564209
67926.5576844891,224184.890655343,612,P02_CROSS,D-D',transverse,Broad cross-pile profile,19.2,261.469234390053,15.9480066299438,5.72492790222168,10.2230787277222
67926.4587908539,224184.875821297,613,P02_CROSS,D-D',transverse,Broad cross-pile profile,19.3,261.469234390053,15.9758567810059,5.72447490692139,10.2513818740845
67926.3598972186,224184.860987252,614,P02_CROSS,D-D',transverse,Broad cross-pile profile,19.4,261.469234390053,16.0145511627197,5.7237663269043,10.2907848358154
67926.2610035833,224184.846153207,615,P02_CROSS,D-D',transverse,Broad cross-pile profile,19.5,261.469234390053,16.0409202575684,5.72345495223999,10.3174648284912
67926.162109948,224184.831319162,616,P02_CROSS,D-D',transverse,Broad cross-pile profile,19.6,261.469234390053,16.0661945343018,5.72300148010254,10.3431930541992
67926.0632163127,224184.816485116,617,P02_CROSS,D-D',transverse,Broad cross-pile profile,19.7,261.469234390053,16.0864410400391,5.72254848480225,10.3638925552368
67925.9643226774,224184.801651071,618,P02_CROSS,D-D',transverse,Broad cross-pile profile,19.8,261.469234390053,16.1067352294922,5.72183990478516,10.384895324707
67925.8654290421,224184.786817026,619,P02_CROSS,D-D',transverse,Broad cross-pile profile,19.9,261.469234390053,16.0945892333984,5.72138643264771,10.3732032775879
67925.7665354068,224184.77198298,620,P02_CROSS,D-D',transverse,Broad cross-pile profile,20,261.469234390053,16.0930004119873,5.72093343734741,10.3720664978027
67925.6676417715,224184.757148935,621,P02_CROSS,D-D',transverse,Broad cross-pile profile,20.1,261.469234390053,16.0917358398438,5.72047996520996,10.3712558746338
67925.5687481363,224184.74231489,622,P02_CROSS,D-D',transverse,Broad cross-pile profile,20.2,261.469234390053,16.1001892089844,5.71977138519287,10.3804178237915
67925.469854501,224184.727480844,623,P02_CROSS,D-D',transverse,Broad cross-pile profile,20.3,261.469234390053,16.0974960327148,5.71931838989258,10.3781776428223
67925.3709608657,224184.712646799,624,P02_CROSS,D-D',transverse,Broad cross-pile profile,20.4,261.469234390053,16.0857467651367,5.71886491775513,10.3668823242188
67925.2720672304,224184.697812754,625,P02_CROSS,D-D',transverse,Broad cross-pile profile,20.5,261.469234390053,16.0829620361328,5.71841144561768,10.3645505905151
67925.1731735951,224184.682978709,626,P02_CROSS,D-D',transverse,Broad cross-pile profile,20.6,261.469234390053,16.0744152069092,5.71770334243774,10.3567123413086
67925.0742799598,224184.668144663,627,P02_CROSS,D-D',transverse,Broad cross-pile profile,20.7,261.469234390053,16.0722370147705,5.71724987030029,10.3549871444702
67924.9753863245,224184.653310618,628,P02_CROSS,D-D',transverse,Broad cross-pile profile,20.8,261.469234390053,16.064525604248,5.716796875,10.347728729248
67924.8764926893,224184.638476573,629,P02_CROSS,D-D',transverse,Broad cross-pile profile,20.9,261.469234390053,16.0476417541504,5.71634340286255,10.331298828125
67924.777599054,224184.623642527,630,P02_CROSS,D-D',transverse,Broad cross-pile profile,21,261.469234390053,16.0249271392822,5.71563482284546,10.3092918395996
67924.6787054187,224184.608808482,631,P02_CROSS,D-D',transverse,Broad cross-pile profile,21.1,261.469234390053,15.9879360198975,5.71518182754517,10.2727546691895
67924.5798117834,224184.593974437,632,P02_CROSS,D-D',transverse,Broad cross-pile profile,21.2,261.469234390053,15.9466514587402,5.71472835540771,10.2319231033325
67924.4809181481,224184.579140392,633,P02_CROSS,D-D',transverse,Broad cross-pile profile,21.3,261.469234390053,15.9102630615234,5.71441698074341,10.1958465576172
67924.3820245128,224184.564306346,634,P02_CROSS,D-D',transverse,Broad cross-pile profile,21.4,261.469234390053,15.874080657959,5.71370840072632,10.1603717803955
67924.2831308775,224184.549472301,635,P02_CROSS,D-D',transverse,Broad cross-pile profile,21.5,261.469234390053,15.8321380615234,5.71325492858887,10.1188831329346
67924.1842372423,224184.534638256,636,P02_CROSS,D-D',transverse,Broad cross-pile profile,21.6,261.469234390053,15.7861576080322,5.71280193328857,10.0733556747437
67924.085343607,224184.51980421,637,P02_CROSS,D-D',transverse,Broad cross-pile profile,21.7,261.469234390053,15.733681678772,5.71234846115112,10.021333694458
67923.9864499717,224184.504970165,638,P02_CROSS,D-D',transverse,Broad cross-pile profile,21.8,261.469234390053,15.7196998596191,5.71163988113403,10.0080604553223
67923.8875563364,224184.49013612,639,P02_CROSS,D-D',transverse,Broad cross-pile profile,21.9,261.469234390053,15.7146921157837,5.71118688583374,10.0035057067871
67923.7886627011,224184.475302074,640,P02_CROSS,D-D',transverse,Broad cross-pile profile,22,261.469234390053,15.6971168518066,5.71073341369629,9.98638343811035
67923.6897690658,224184.460468029,641,P02_CROSS,D-D',transverse,Broad cross-pile profile,22.1,261.469234390053,15.7040634155273,5.7100248336792,9.99403858184814
67923.5908754305,224184.445633984,642,P02_CROSS,D-D',transverse,Broad cross-pile profile,22.2,261.469234390053,15.7184066772461,5.70957183837891,10.0088348388672
67923.4919817952,224184.430799939,643,P02_CROSS,D-D',transverse,Broad cross-pile profile,22.3,261.469234390053,15.726616859436,5.70911836624146,10.0174980163574
67923.39308816,224184.415965893,644,P02_CROSS,D-D',transverse,Broad cross-pile profile,22.4,261.469234390053,15.7266159057617,5.70866537094116,10.0179500579834
67923.2941945247,224184.401131848,645,P02_CROSS,D-D',transverse,Broad cross-pile profile,22.5,261.469234390053,15.7646265029907,5.70795679092407,10.0566692352295
67923.1953008894,224184.386297803,646,P02_CROSS,D-D',transverse,Broad cross-pile profile,22.6000000000001,261.469234390053,15.7931156158447,5.70750331878662,10.0856122970581
67923.0964072541,224184.371463757,647,P02_CROSS,D-D',transverse,Broad cross-pile profile,22.7000000000001,261.469234390053,15.8207988739014,5.70705032348633,10.113748550415
67922.9975136188,224184.356629712,648,P02_CROSS,D-D',transverse,Broad cross-pile profile,22.8000000000001,261.469234390053,15.8478050231934,5.70659685134888,10.1412086486816
67922.8986199835,224184.341795667,649,P02_CROSS,D-D',transverse,Broad cross-pile profile,22.9000000000001,261.469234390053,15.8841323852539,5.70588827133179,10.178243637085
67922.7997263482,224184.326961622,650,P02_CROSS,D-D',transverse,Broad cross-pile profile,23.0000000000001,261.469234390053,15.9229583740234,5.70543527603149,10.2175235748291
67922.7008327129,224184.312127576,651,P02_CROSS,D-D',transverse,Broad cross-pile profile,23.1000000000001,261.469234390053,15.9572257995605,5.70512342453003,10.2521018981934
67922.6019390777,224184.297293531,652,P02_CROSS,D-D',transverse,Broad cross-pile profile,23.2000000000001,261.469234390053,15.998592376709,5.70467042922974,10.2939224243164
67922.5030454424,224184.282459486,653,P02_CROSS,D-D',transverse,Broad cross-pile profile,23.3000000000001,261.469234390053,16.0245380401611,5.70396184921265,10.3205757141113
67922.4041518071,224184.26762544,654,P02_CROSS,D-D',transverse,Broad cross-pile profile,23.4000000000001,261.469234390053,16.0413990020752,5.7035083770752,10.337890625
67922.3052581718,224184.252791395,655,P02_CROSS,D-D',transverse,Broad cross-pile profile,23.5000000000001,261.469234390053,16.0681800842285,5.7030553817749,10.3651247024536
67922.2063645365,224184.23795735,656,P02_CROSS,D-D',transverse,Broad cross-pile profile,23.6000000000001,261.469234390053,16.0858039855957,5.70260190963745,10.3832015991211
67922.1074709012,224184.223123305,657,P02_CROSS,D-D',transverse,Broad cross-pile profile,23.7000000000001,261.469234390053,16.1431350708008,5.70189332962036,10.4412422180176
67922.0085772659,224184.208289259,658,P02_CROSS,D-D',transverse,Broad cross-pile profile,23.8000000000001,261.469234390053,16.1527309417725,5.70144033432007,10.4512901306152
67921.9096836307,224184.193455214,659,P02_CROSS,D-D',transverse,Broad cross-pile profile,23.9000000000001,261.469234390053,16.1622753143311,5.70098686218262,10.4612884521484
67921.8107899954,224184.178621169,660,P02_CROSS,D-D',transverse,Broad cross-pile profile,24.0000000000001,261.469234390053,16.1803455352783,5.70053386688232,10.479811668396
67921.7118963601,224184.163787123,661,P02_CROSS,D-D',transverse,Broad cross-pile profile,24.1000000000001,261.469234390053,16.2220077514648,5.69982528686523,10.5221824645996
67921.6130027248,224184.148953078,662,P02_CROSS,D-D',transverse,Broad cross-pile profile,24.2000000000001,261.469234390053,16.2528457641602,5.69937181472778,10.5534744262695
67921.5141090895,224184.134119033,663,P02_CROSS,D-D',transverse,Broad cross-pile profile,24.3000000000001,261.469234390053,16.2850036621094,5.69891881942749,10.5860843658447
67921.4152154542,224184.119284987,664,P02_CROSS,D-D',transverse,Broad cross-pile profile,24.4000000000001,261.469234390053,16.3129653930664,5.69846534729004,10.6145000457764
67921.3163218189,224184.104450942,665,P02_CROSS,D-D',transverse,Broad cross-pile profile,24.5000000000001,261.469234390053,16.3313045501709,5.69775676727295,10.6335477828979
67921.2174281836,224184.089616897,666,P02_CROSS,D-D',transverse,Broad cross-pile profile,24.6000000000001,261.469234390053,16.3382415771484,5.69730377197266,10.6409378051758
67921.1185345484,224184.074782852,667,P02_CROSS,D-D',transverse,Broad cross-pile profile,24.7000000000001,261.469234390053,16.3387985229492,5.69685029983521,10.6419486999512
67921.0196409131,224184.059948806,668,P02_CROSS,D-D',transverse,Broad cross-pile profile,24.8000000000001,261.469234390053,16.3313064575195,5.69639730453491,10.6349086761475
67920.9207472778,224184.045114761,669,P02_CROSS,D-D',transverse,Broad cross-pile profile,24.9000000000001,261.469234390053,16.3192825317383,5.69583034515381,10.6234521865845
67920.8218536425,224184.030280716,670,P02_CROSS,D-D',transverse,Broad cross-pile profile,25.0000000000001,261.469234390053,16.3083095550537,5.69537687301636,10.6129322052002
67920.7229600072,224184.01544667,671,P02_CROSS,D-D',transverse,Broad cross-pile profile,25.1000000000001,261.469234390053,16.28879737854,5.69492387771606,10.5938739776611
67920.6240663719,224184.000612625,672,P02_CROSS,D-D',transverse,Broad cross-pile profile,25.2000000000001,261.469234390053,16.2584266662598,5.69421529769897,10.5642108917236
67920.5251727366,224183.98577858,673,P02_CROSS,D-D',transverse,Broad cross-pile profile,25.3000000000001,261.469234390053,16.219144821167,5.69376182556152,10.5253829956055
67920.4262791013,224183.970944535,674,P02_CROSS,D-D',transverse,Broad cross-pile profile,25.4000000000001,261.469234390053,16.1820678710938,5.69330883026123,10.4887590408325
67920.3273854661,224183.956110489,675,P02_CROSS,D-D',transverse,Broad cross-pile profile,25.5000000000001,261.469234390053,16.1072254180908,5.69285535812378,10.4143695831299
67920.2284918308,224183.941276444,676,P02_CROSS,D-D',transverse,Broad cross-pile profile,25.6000000000001,261.469234390053,16.0039329528809,5.69214725494385,10.311785697937
67920.1295981955,224183.926442399,677,P02_CROSS,D-D',transverse,Broad cross-pile profile,25.7000000000001,261.469234390053,15.9257106781006,5.6916937828064,10.234016418457
67920.0307045602,224183.911608353,678,P02_CROSS,D-D',transverse,Broad cross-pile profile,25.8000000000001,261.469234390053,15.8701362609863,5.69124031066895,10.1788959503174
67919.9318109249,224183.896774308,679,P02_CROSS,D-D',transverse,Broad cross-pile profile,25.9000000000001,261.469234390053,15.7520999908447,5.69078731536865,10.0613126754761
67919.8329172896,224183.881940263,680,P02_CROSS,D-D',transverse,Broad cross-pile profile,26.0000000000001,261.469234390053,15.6670799255371,5.69007873535156,9.97700119018555
67919.7340236543,224183.867106217,681,P02_CROSS,D-D',transverse,Broad cross-pile profile,26.1000000000001,261.469234390053,15.6211709976196,5.68962526321411,9.93154525756836
67919.6351300191,224183.852272172,682,P02_CROSS,D-D',transverse,Broad cross-pile profile,26.2000000000001,261.469234390053,15.5683717727661,5.68917226791382,9.87919998168945
67919.5362363838,224183.837438127,683,P02_CROSS,D-D',transverse,Broad cross-pile profile,26.3000000000001,261.469234390053,15.4238367080688,5.68922758102417,9.73460960388184
67919.4373427485,224183.822604082,684,P02_CROSS,D-D',transverse,Broad cross-pile profile,26.4000000000001,261.469234390053,15.331075668335,5.69049072265625,9.64058494567871
67919.3384491132,224183.807770036,685,P02_CROSS,D-D',transverse,Broad cross-pile profile,26.5000000000001,261.469234390053,15.2894105911255,5.69214868545532,9.59726142883301
67919.2395554779,224183.792935991,686,P02_CROSS,D-D',transverse,Broad cross-pile profile,26.6000000000001,261.469234390053,15.2486429214478,5.69380712509155,9.55483627319336
67919.1406618426,224183.778101946,687,P02_CROSS,D-D',transverse,Broad cross-pile profile,26.7000000000001,261.469234390053,15.2192869186401,5.69521284103394,9.52407455444336
67919.0417682073,224183.7632679,688,P02_CROSS,D-D',transverse,Broad cross-pile profile,26.8000000000001,261.469234390053,15.1457662582397,5.69647598266602,9.44929027557373
67918.9428745721,224183.748433855,689,P02_CROSS,D-D',transverse,Broad cross-pile profile,26.9000000000001,261.469234390053,15.104323387146,5.69813394546509,9.40618896484375
67918.8439809368,224183.73359981,690,P02_CROSS,D-D',transverse,Broad cross-pile profile,27.0000000000001,261.469234390053,15.0767469406128,5.69979238510132,9.37695503234863
67918.7450873015,224183.718765765,691,P02_CROSS,D-D',transverse,Broad cross-pile profile,27.1000000000001,261.469234390053,15.0341987609863,5.70145082473755,9.33274841308594
67918.6461936662,224183.703931719,692,P02_CROSS,D-D',transverse,Broad cross-pile profile,27.2000000000001,261.469234390053,15.0055894851685,5.70271348953247,9.30287551879883
67918.5473000309,224183.689097674,693,P02_CROSS,D-D',transverse,Broad cross-pile profile,27.3000000000001,261.469234390053,14.9481468200684,5.7043719291687,9.2437744140625
