fid,profile_id,orientation,notes,distance,angle,dsm_1,floor_1,height_1
104,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",10.3,5.3792219879707,7.79201459884644,6.17632150650024,1.61569309234619
105,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",10.4,5.3792219879707,7.74575710296631,6.1762547492981,1.56950235366821
106,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",10.5,5.3792219879707,7.69866752624512,6.1757698059082,1.52289772033691
107,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",10.6,5.3792219879707,7.64905071258545,6.17570304870605,1.47334766387939
108,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",10.7,5.3792219879707,7.60206413269043,6.17521858215332,1.42684555053711
109,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",10.8,5.3792219879707,7.5504994392395,6.17515134811401,1.37534809112549
110,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",10.9,5.3792219879707,7.48035478591919,6.17466688156128,1.30568790435791
111,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",11,5.3792219879707,7.4378981590271,6.17460012435913,1.26329803466797
112,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",11.1,5.3792219879707,7.39884662628174,6.17411518096924,1.2247314453125
113,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",11.2,5.3792219879707,7.3593373298645,6.17404842376709,1.18528890609741
114,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",11.3,5.3792219879707,7.31661367416382,6.17356395721436,1.14304971694946
115,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",11.4,5.3792219879707,7.28087711334229,6.17349672317505,1.10738039016724
116,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",11.5,5.3792219879707,7.23227262496948,6.17301225662231,1.05926036834717
117,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",11.6,5.3792219879707,7.20443630218506,6.17294502258301,1.03149127960205
118,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",11.7,5.3792219879707,7.17627716064453,6.17246055603027,1.00381660461426
119,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",11.8,5.3792219879707,7.15146589279175,6.17197608947754,0.979489803314209
120,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",11.9,5.3792219879707,7.13539934158325,6.17190885543823,0.96349048614502
121,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",12,5.3792219879707,7.14365530014038,6.1714243888855,
122,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,0,98.6187854441811,7.50078678131104,6.05084896087646,
123,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,0.1,98.6187854441811,7.42066431045532,6.05303430557251,
124,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,0.2,98.6187854441811,7.44196128845215,6.0552191734314,1.38674211502075
125,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,0.3,98.6187854441811,7.47013282775879,6.05698680877686,1.41314601898193
126,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,0.4,98.6187854441811,7.4990668296814,6.05907487869263,1.43999195098877
127,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,0.5,98.6187854441811,7.5371527671814,6.06125974655151,1.47589302062988
128,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,0.6,98.6187854441811,7.5849142074585,6.06344509124756,1.52146911621094
129,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,0.7,98.6187854441811,7.64240217208862,6.06562995910645,1.57677221298218
130,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,0.8,98.6187854441811,7.69329023361206,6.06771802902222,1.62557220458984
131,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,0.9,98.6187854441811,7.73364925384521,6.06990337371826,1.66374588012695
132,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,1,98.6187854441811,7.77458047866821,6.07208824157715,1.70249223709106
133,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,1.1,98.6187854441811,7.81984043121338,6.07427310943604,1.74556732177734
134,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,1.2,98.6187854441811,7.85756731033325,6.07636117935181,1.78120613098145
135,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,1.3,98.6187854441811,7.89772605895996,6.07854652404785,1.81917953491211
