X,Y,fid,pile_id,base_mode,notes,distance,angle,dsm_1
67938.4258181672,224195.56095549,77,P02,perimeter_tin,,19,137.489552921879,5.65126991271973
67938.5947493243,224195.376666955,78,P02,perimeter_tin,,19.25,137.489552921879,5.65488958358765
67938.7636804815,224195.19237842,79,P02,perimeter_tin,,19.5,137.489552921879,5.65202808380127
67938.9326116386,224195.008089885,80,P02,perimeter_tin,,19.75,137.489552921879,5.64616870880127
67939.1015427957,224194.82380135,81,P02,perimeter_tin,,20,137.489552921879,5.64820957183838
67939.2508436561,224194.623375786,82,P02,perimeter_tin,,20.25,143.666815268825,5.65281677246094
67939.3989636209,224194.42197947,83,P02,perimeter_tin,,20.5,143.666815268825,5.64922714233398
67939.5470835857,224194.220583154,84,P02,perimeter_tin,,20.75,143.666815268825,5.63667869567871
67939.6952035505,224194.019186838,85,P02,perimeter_tin,,21,143.666815268825,5.62865781784058
67939.8433235153,224193.817790523,86,P02,perimeter_tin,,21.25,143.666815268825,5.61165475845337
67939.9914434802,224193.616394207,87,P02,perimeter_tin,,21.5,143.666815268825,5.60716104507446
67940.139563445,224193.414997891,88,P02,perimeter_tin,,21.75,143.666815268825,5.59899854660034
67940.2876834098,224193.213601575,89,P02,perimeter_tin,,22,143.666815268825,5.60770606994629
67940.4358033746,224193.012205259,90,P02,perimeter_tin,,22.25,143.666815268825,5.62600708007812
67940.5839233395,224192.810808943,91,P02,perimeter_tin,,22.5,143.666815268825,5.63207769393921
67940.7320433043,224192.609412628,92,P02,perimeter_tin,,22.75,143.666815268825,5.63873100280762
67940.8801632691,224192.408016312,93,P02,perimeter_tin,,23,143.666815268825,5.63734006881714
67941.0282832339,224192.206619996,94,P02,perimeter_tin,,23.25,143.666815268825,5.63650560379028
67941.1764031988,224192.00522368,95,P02,perimeter_tin,,23.5,143.666815268825,5.63746309280396
67941.3245231636,224191.803827364,96,P02,perimeter_tin,,23.75,143.666815268825,5.63469314575195
67941.4726431284,224191.602431049,97,P02,perimeter_tin,,24,143.666815268825,5.63361978530884
67941.6207630932,224191.401034733,98,P02,perimeter_tin,,24.25,143.666815268825,5.63204526901245
67941.768883058,224191.199638417,99,P02,perimeter_tin,,24.5,143.666815268825,5.61135816574097
67941.9170030229,224190.998242101,100,P02,perimeter_tin,,24.75,143.666815268825,5.58271741867065
67942.0651229877,224190.796845785,101,P02,perimeter_tin,,25,143.666815268825,5.58047533035278
67942.2132429525,224190.59544947,102,P02,perimeter_tin,,25.25,143.666815268825,5.59489059448242
67942.3613629173,224190.394053154,103,P02,perimeter_tin,,25.5,143.666815268825,5.5978946685791
67942.5094828822,224190.192656838,104,P02,perimeter_tin,,25.75,143.666815268825,5.59430503845215
67942.657602847,224189.991260522,105,P02,perimeter_tin,,26,143.666815268825,5.59792804718018
67942.8057228118,224189.789864206,106,P02,perimeter_tin,,26.25,143.666815268825,5.6003246307373
67942.9538427766,224189.588467891,107,P02,perimeter_tin,,26.5,143.666815268825,5.60912418365479
67943.0325901256,224189.358569828,108,P02,perimeter_tin,,26.75,171.662555561122,5.60349178314209
67943.0688408391,224189.111212019,109,P02,perimeter_tin,,27,171.662555561122,5.59240007400513
67943.1050915525,224188.86385421,110,P02,perimeter_tin,,27.25,171.662555561122,5.55302381515503
67943.1413422659,224188.616496401,111,P02,perimeter_tin,,27.5,171.662555561122,5.53937911987305
67943.1775929793,224188.369138592,112,P02,perimeter_tin,,27.75,171.662555561122,5.54037570953369
67943.2138436927,224188.121780782,113,P02,perimeter_tin,,28,171.662555561122,5.55921745300293
67943.2500944062,224187.874422973,114,P02,perimeter_tin,,28.25,171.662555561122,5.58243179321289
67943.2863451196,224187.627065164,115,P02,perimeter_tin,,28.5,171.662555561122,5.57440710067749
67943.322595833,224187.379707355,116,P02,perimeter_tin,,28.75,171.662555561122,5.56352853775024
67943.3588465464,224187.132349546,117,P02,perimeter_tin,,29,171.662555561122,5.56015682220459
67943.3950972598,224186.884991736,118,P02,perimeter_tin,,29.25,171.662555561122,5.58259963989258
67943.4313479733,224186.637633927,119,P02,perimeter_tin,,29.5,171.662555561122,5.60490465164185
67943.4675986867,224186.390276118,120,P02,perimeter_tin,,29.75,171.662555561122,5.61312913894653
67943.5038494001,224186.142918309,121,P02,perimeter_tin,,30,171.662555561122,5.62765598297119
67943.5401001135,224185.8955605,122,P02,perimeter_tin,,30.25,171.662555561122,5.63587236404419
67943.5763508269,224185.64820269,123,P02,perimeter_tin,,30.5,171.662555561122,5.64279127120972
67943.6126015404,224185.400844881,124,P02,perimeter_tin,,30.75,171.662555561122,5.62182521820068
67943.6488522538,224185.153487072,125,P02,perimeter_tin,,31,171.662555561122,5.6048059463501
67943.6851029672,224184.906129263,126,P02,perimeter_tin,,31.25,171.662555561122,5.59131336212158
67943.7213536806,224184.658771453,127,P02,perimeter_tin,,31.5,171.662555561122,5.57934141159058
67943.757604394,224184.411413644,128,P02,perimeter_tin,,31.75,171.662555561122,5.59251260757446
67943.7938551074,224184.164055835,129,P02,perimeter_tin,,32,171.662555561122,5.59674739837646
67943.7561446312,224183.917638074,130,P02,perimeter_tin,,32.25,189.7938273585,5.57960653305054
67943.7136187969,224183.671281517,131,P02,perimeter_tin,,32.5,189.7938273585,5.58377981185913
67943.6710929626,224183.424924959,132,P02,perimeter_tin,,32.75,189.7938273585,5.56210041046143
67943.6285671283,224183.178568402,133,P02,perimeter_tin,,33,189.7938273585,5.54004716873169
67943.5860412939,224182.932211844,134,P02,perimeter_tin,,33.25,189.7938273585,5.52971172332764
