fid,profile_id,section_id,orientation,notes,distance,angle
1,P02_LONG,C-C',longitudinal,Main ridge profile,10.8,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,10.9,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,11,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,11.1,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,11.2,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,11.3,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,11.4,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,11.5,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,11.6,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,11.7,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,11.8,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,11.9,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,12,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,12.1,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,12.2,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,12.3,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,12.4,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,12.5,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,12.6,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,12.7,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,12.8,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,12.9,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,13,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,13.1,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,13.2,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,13.3,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,13.4,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,13.5,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,13.6,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,13.7,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,13.8,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,13.9,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,14,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,14.1,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,14.2,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,14.3,212.351971855461
